day 0,19-Sep,,This sheet takes compound specific OP50 lysis into account,,,,,,,,OD600 measured,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,,,,,,,,,,white OD600,,,,,,,,,,,,,
,,,,,,,,,,X0,9/20,9/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red fluorescence,,,,,,,,,,,,,
plate,col,row,date,set,strain,Drug,conc,add,well,X0,1,4,4,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,,,,,,,,,,,,,,,,,,,,,,
2,4,B,92313,15,RB2105,Mianserin,50,9/20/2013,B4,7,0.898,0.8098,0.00742381,,-0.005861905,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,4,C,92313,15,RB2105,Mianserin,50,9/20/2013,C4,5,0.8689,0.8115,0.004233333,,-0.007866667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,4,D,92313,15,RB2105,Mianserin,50,9/20/2013,D4,8,0.8961,0.8206,0.004908333,,-0.003779167,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,4,E,92313,15,RB2105,Mianserin,50,9/20/2013,E4,6,0.9058,0.8277,0.006977778,,-0.003855556,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,4,F,92313,15,RB2105,Mianserin,50,9/20/2013,F4,4,0.9048,0.8368,0.007941667,,-0.003508333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,4,G,92313,15,RB2105,Mianserin,50,9/20/2013,G4,8,0.8954,0.8049,0.006783333,,-0.005741667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,4,H,92313,15,RB2105,Mianserin,50,9/20/2013,H4,11,0.9296,0.8184,0.006815152,,0.8184,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,A,92313,15,RB2105,Mianserin,50,9/20/2013,A5,7,0.8836,0.8054,0.005995238,,-0.006490476,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,B,92313,15,RB2105,Mianserin,50,9/20/2013,B5,6,0.8902,0.8163,0.006277778,,-0.005755556,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,C,92313,15,RB2105,Mianserin,50,9/20/2013,C5,12,0.8485,0.7298,0.006872222,,-0.010086111,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
