11	1	A	61314	.	N2	Water	0	61314	9	4	.	9
11	1	A	61314	.	N2	Water	0	61314	9	7	0	9
11	1	A	61314	.	N2	Water	0	61314	9	11	2	7
11	1	A	61314	.	N2	Water	0	61314	9	13	1	6
11	1	A	61314	.	N2	Water	0	61314	9	17	3	3
11	1	A	61314	.	N2	Water	0	61314	9	21	2	1
11	1	A	61314	.	N2	Water	0	61314	9	26	1	0
11	1	A	61314	.	N2	Water	0	61314	9	31	0	0
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	A	61314	.	N2	Water	0	61314	9	.	0	.
11	1	B	61314	.	N2	Water	0	61314	4	4	.	4
11	1	B	61314	.	N2	Water	0	61314	4	7	0	4
11	1	B	61314	.	N2	Water	0	61314	4	11	0	4
11	1	B	61314	.	N2	Water	0	61314	4	13	1	3
11	1	B	61314	.	N2	Water	0	61314	4	17	1	2
11	1	B	61314	.	N2	Water	0	61314	4	21	2	0
11	1	B	61314	.	N2	Water	0	61314	4	26	0	0
11	1	B	61314	.	N2	Water	0	61314	4	31	0	0
11	1	B	61314	.	N2	Water	0	61314	4	.	0	.
11	1	B	61314	.	N2	Water	0	61314	4	.	0	.
11	1	B	61314	.	N2	Water	0	61314	4	.	0	.
11	1	B	61314	.	N2	Water	0	61314	4	.	0	.
11	1	B	61314	.	N2	Water	0	61314	4	.	0	.
11	1	B	61314	.	N2	Water	0	61314	4	.	0	.
11	1	B	61314	.	N2	Water	0	61314	4	.	0	.
