day 0,,,This sheet takes compound specific OP50 lysis into account,,,,,,,,OD600 measured,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,,,,,,,,,,white OD600,,,,,,,,,,,,,
,,,,,,,,,,X0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red fluorescence,,,,,,,,,,,,,
plate,col,row,date,set,strain,Drug,conc,add,well,X0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
0,4,E,0,0,0,0,0,,E4,10,1.1355,1.0706,-0.001653333,,0.002966667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,4,F,0,0,0,0,0,,F4,11,1.1399,1.0705,-0.001093939,,0.002687879,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,4,G,0,0,0,0,0,,G4,4,1.1206,0.9889,0.012566667,,-0.013008333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,4,H,0,0,no_worms,10mgml+drug,0,,H4,0,1.1431,1.0614,0.0817,,1.0614,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,5,A,0,0,,,,,A5,9,1.1461,1.0638,9.62963E-05,,0.002540741,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,5,B,0,0,0,0,0,,B5,7,1.1143,1.0321,0.000109524,,-0.001261905,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,5,C,0,0,0,0,0,,C5,6,1.1081,1.0273,-0.000105556,,-0.002272222,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,5,D,0,0,0,0,0,,D5,5,1.1058,1.0215,0.000573333,,-0.003886667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,5,E,0,0,0,0,0,,E5,8,1.1139,1.0269,0.000695833,,-0.001754167,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,5,F,0,0,0,0,0,,F5,10,1.1302,1.0623,-0.001353333,,0.002136667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,5,G,0,0,0,0,0,,G5,16,1.1251,1.0381,0.000347917,,-0.000177083,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,5,H,0,0,no_worms,10mgml+drug,0,,H5,0,1.1235,1.0414,0.0821,,1.0414,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,6,A,0,0,,,,,A6,11,1.1248,1.0626,-0.001748485,,0.001969697,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,6,B,0,0,0,0,0,,B6,8,1.1228,1.0388,0.000320833,,-0.000266667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,6,C,0,0,0,0,0,,C6,8,1.1331,1.0613,-0.001204167,,0.002545833,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,6,D,0,0,0,0,0,,D6,10,1.1295,1.0246,0.002346667,,-0.001633333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,6,E,0,0,0,0,0,,E6,4,1.1346,1.0819,-0.007183333,,0.010241667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,6,F,0,0,0,0,0,,F6,7,1.117,1.0567,-0.003019048,,0.002252381,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,6,G,0,0,0,0,0,,G6,7,1.1015,1.0297,-0.00137619,,-0.001604762,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,6,H,0,0,no_worms,10mgml+drug,0,,H6,0,1.1005,1.02,0.0805,,1.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,7,A,0,0,,,,,A7,6,1.1183,1.0391,0.000338889,,-0.001388889,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,7,B,0,0,0,0,0,,B7,4,1.1278,1.0223,0.007083333,,-0.006283333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
